Nome,Símbolo,Número Atômico,Massa Atômica (u),Família/Grupo,Período,Estado Físico (CNTP),Eletronegatividade (Pauling),Configuração Eletrônica
Níquel,Ni,28,58.69,10,4,Sólido,1.91,"[Ar] 3d⁸ 4s²"
Cobre,Cu,29,63.55,11,4,Sólido,1.90,"[Ar] 3d¹⁰ 4s¹"
Zinco,Zn,30,65.41,12,4,Sólido,1.65,"[Ar] 3d¹⁰ 4s²"
Gálio,Ga,31,69.72,13,4,Sólido,1.81,"[Ar] 3d¹⁰ 4s² 4p¹"
Germânio,Ge,32,72.64,14,4,Sólido,2.01,"[Ar] 3d¹⁰ 4s² 4p²"
Arsênio,As,33,74.92,15,4,Sólido,2.18,"[Ar] 3d¹⁰ 4s² 4p³"
Selênio,Se,34,78.96,16,4,Sólido,2.55,"[Ar] 3d¹⁰ 4s² 4p⁴"
Bromo,Br,35,79.90,17,4,Líquido,2.96,"[Ar] 3d¹⁰ 4s² 4p⁵"
Criptônio,Kr,36,83.80,18,4,Gas,3.00,"[Ar] 3d¹⁰ 4s² 4p⁶"
Rubídio,Rb,37,85.47,1,5,Sólido,0.82,"[Kr] 5s¹"
Estrôncio,Sr,38,87.62,2,5,Sólido,0.95,"[Kr] 5s²"
Ítrio,Y,39,88.91,3,5,Sólido,1.22,"[Kr] 4d¹ 5s²"
Zircônio,Zr,40,91.22,4,5,Sólido,1.33,"[Kr] 4d² 5s²"
Nióbio,Nb,41,92.91,5,5,Sólido,1.60,"[Kr] 4d⁴ 5s¹"
Molibdênio,Mo,42,95.95,6,5,Sólido,2.16,"[Kr] 4d⁵ 5s¹"
Tecnécio,Tc,43,98.00,7,5,Sólido,1.90,"[Kr] 4d⁵ 5s²"
Rutênio,Ru,44,101.07,8,5,Sólido,2.20,"[Kr] 4d⁷ 5s¹"
Ródio,Rh,45,102.91,9,5,Sólido,2.28,"[Kr] 4d⁸ 5s¹"
Paládio,Pd,46,106.42,10,5,Sólido,2.20,"[Kr] 4d¹⁰"
Prata,Ag,47,107.87,11,5,Sólido,1.93,"[Kr] 4d¹⁰ 5s¹"
Cádmio,Cd,48,112.41,12,5,Sólido,1.69,"[Kr] 4d¹⁰ 5s²"
Índio,In,49,114.82,13,5,Sólido,1.78,"[Kr] 4d¹⁰ 5s² 5p¹"
Estanho,Sn,50,118.71,14,5,Sólido,1.96,"[Kr] 4d¹⁰ 5s² 5p²"
Antimônio,Sb,51,121.76,15,5,Sólido,2.05,"[Kr] 4d¹⁰ 5s² 5p³"
Telúrio,Te,52,127.60,16,5,Sólido,2.10,"[Kr] 4d¹⁰ 5s² 5p⁴"
Iodo,I,53,126.90,17,5,Sólido,2.66,"[Kr] 4d¹⁰ 5s² 5p⁵"
Xenônio,Xe,54,131.29,18,5,Gas,2.60,"[Kr] 4d¹⁰ 5s² 5p⁶"
Césio,Cs,55,132.91,1,6,Sólido,0.79,"[Xe] 6s¹"
Bário,Ba,56,137.33,2,6,Sólido,0.89,"[Xe] 6s²"
Lantânio,La,57,138.91,-,6,Sólido,1.10,"[Xe] 5d¹ 6s²"
Cério,Ce,58,140.12,-,6,Sólido,1.12,"[Xe] 4f¹ 5d¹ 6s²"
Praseodímio,Pr,59,140.91,-,6,Sólido,1.13,"[Xe] 4f³ 6s²"
Neodímio,Nd,60,144.24,-,6,Sólido,1.14,"[Xe] 4f⁴ 6s²"
Promécio,Pm,61,145.00,-,6,Sólido,1.13,"[Xe] 4f⁵ 6s²"
Samário,Sm,62,150.36,-,6,Sólido,1.17,"[Xe] 4f⁶ 6s²"
Európio,Eu,63,151.96,-,6,Sólido,1.20,"[Xe] 4f⁷ 6s²"
Gadolínio,Gd,64,157.25,-,6,Sólido,1.20,"[Xe] 4f⁷ 5d¹ 6s²"
Térbio,Tb,65,158.93,-,6,Sólido,1.20,"[Xe] 4f⁹ 6s²"
Disprósio,Dy,66,162.50,-,6,Sólido,1.22,"[Xe] 4f¹⁰ 6s²"
Hólmio,Ho,67,164.93,-,6,Sólido,1.23,"[Xe] 4f¹¹ 6s²"
Érbio,Er,68,167.26,-,6,Sólido,1.24,"[Xe] 4f¹² 6s²"
Túlio,Tm,69,168.93,-,6,Sólido,1.25,"[Xe] 4f¹³ 6s²"
Itérbio,Yb,70,173.05,-,6,Sólido,1.10,"[Xe] 4f¹⁴ 6s²"
Lutécio,Lu,71,174.97,3,6,Sólido,1.27,"[Xe] 4f¹⁴ 5d¹ 6s²"
Háfnio,Hf,72,178.49,4,6,Sólido,1.30,"[Xe] 4f¹⁴ 5d² 6s²"
Tântalo,Ta,73,180.95,5,6,Sólido,1.50,"[Xe] 4f¹⁴ 5d³ 6s²"
Tungstênio,W,74,183.84,6,6,Sólido,2.36,"[Xe] 4f¹⁴ 5d⁴ 6s²"
Rênio,Re,75,186.21,7,6,Sólido,1.90,"[Xe] 4f¹⁴ 5d⁵ 6s²"
Ósmio,Os,76,190.23,8,6,Sólido,2.20,"[Xe] 4f¹⁴ 5d⁶ 6s²"
Irídio,Ir,77,192.22,9,6,Sólido,2.20,"[Xe] 4f¹⁴ 5d⁷ 6s²"
Platina,Pt,78,195.08,10,6,Sólido,2.28,"[Xe] 4f¹⁴ 5d⁹ 6s¹"
Ouro,Au,79,196.97,11,6,Sólido,2.54,"[Xe] 4f¹⁴ 5d¹⁰ 6s¹"
Mercúrio,Hg,80,200.59,12,6,Líquido,2.00,"[Xe] 4f¹⁴ 5d¹⁰ 6s²"
Tálio,Tl,81,204.38,13,6,Sólido,1.62,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p¹"
Chumbo,Pb,82,207.20,14,6,Sólido,1.87,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p²"
Bismuto,Bi,83,208.98,15,6,Sólido,2.02,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p³"
Polônio,Po,84,209.00,16,6,Sólido,2.00,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁴"
Astato,At,85,210.00,17,6,Sólido,2.20,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁵"
Radônio,Rn,86,222.00,18,6,Gas,-,"[Xe] 4f¹⁴ 5d¹⁰ 6s² 6p⁶"
Frâncio,Fr,87,223.00,1,7,Sólido,0.70,"[Rn] 7s¹"
Rádio,Ra,88,226.00,2,7,Sólido,0.90,"[Rn] 7s²"
Actínio,Ac,89,227.00,-,7,Sólido,1.10,"[Rn] 6d¹ 7s²"
Tório,Th,90,232.04,-,7,Sólido,1.30,"[Rn] 6d² 7s²"
Protactínio,Pa,91,231.04,-,7,Sólido,1.50,"[Rn] 5f² 6d¹ 7s²"
Urânio,U,92,238.03,-,7,Sólido,1.38,"[Rn] 5f³ 6d¹ 7s²"
Netúnio,Np,93,237.00,-,7,Sólido,1.36,"[Rn] 5f⁴ 6d¹ 7s²"
Plutônio,Pu,94,244.00,-,7,Sólido,1.28,"[Rn] 5f⁶ 7s²"
Amerício,Am,95,243.00,-,7,Sólido,1.30,"[Rn] 5f⁷ 7s²"
Cúrio,Cm,96,247.00,-,7,Sólido,1.30,"[Rn] 5f⁷ 6d¹ 7s²"
Berquélio,Bk,97,247.00,-,7,Sólido,1.30,"[Rn] 5f⁹ 7s²"
Califórnio,Cf,98,251.00,-,7,Sólido,1.30,"[Rn] 5f¹⁰ 7s²"
Einstênio,Es,99,252.00,-,7,Sólido,1.30,"[Rn] 5f¹¹ 7s²"
Férmio,Fm,100,257.00,-,7,Sólido,1.30,"[Rn] 5f¹² 7s²"
Mendelévio,Md,101,258.00,-,7,Sólido,1.30,"[Rn] 5f¹³ 7s²"
Nobélio,No,102,259.00,-,7,Sólido,1.30,"[Rn] 5f¹⁴ 7s²"
Laurêncio,Lr,103,262.00,3,7,Sólido,1.30,"[Rn] 5f¹⁴ 6d¹ 7s²"
Rutherfórdio,Rf,104,267.00,4,7,Sólido,-,"[Rn] 5f¹⁴ 6d² 7s²"
Dúbnio,Db,105,268.00,5,7,Sólido,-,"[Rn] 5f¹⁴ 6d³ 7s²"
Seabórgio,Sg,106,269.00,6,7,Sólido,-,"[Rn] 5f¹⁴ 6d⁴ 7s²"
Bóhrio,Bh,107,270.00,7,7,Sólido,-,"[Rn] 5f¹⁴ 6d⁵ 7s²"
Hássio,Hs,108,269.00,8,7,Sólido,-,"[Rn] 5f¹⁴ 6d⁶ 7s²"
Meitnério,Mt,109,278.00,9,7,Sólido,-,"[Rn] 5f¹⁴ 6d⁷ 7s²"
Darmstádio,Ds,110,281.00,10,7,Sólido,-,"[Rn] 5f¹⁴ 6d⁸ 7s²"
Roentgênio,Rg,111,282.00,11,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s¹"
Copernício,Cn,112,285.00,12,7,Gas,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s²"
Nihônio,Nh,113,286.00,13,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p¹"
Fleróvio,Fl,114,289.00,14,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p²"
Moscóvio,Mc,115,290.00,15,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p³"
Livermório,Lv,116,293.00,16,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁴"
Tenesso,Ts,117,294.00,17,7,Sólido,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁵"
Oganessônio,Og,118,294.00,18,7,Gas,-,"[Rn] 5f¹⁴ 6d¹⁰ 7s² 7p⁶"
